jenis_daun,nama_latin,keluarga,zat,penggunaan,pemerian,penyimpanan
bukan daun,tidak tersedia,tidak tersedia,tidak tersedia,tidak tersedia,tidak tersedia,tidak tersedia
ganja,Cannabis sativa(L),Cannabinaceae,Zat narkotika THC,Narkotika; analgetika; sedativa,Berdaun menjari ganjil (lima/ tujuh/ sembilan),Dalam wadah tertutup baik
jambu biji,Psidium guajava,Myrtaceae,Zat penyamak (9%); minyak atsiri berwarna kehijauan; Egenol,Antidiare; astringensia,Bau aromatik; rasa sepat,Dalam wadah tertutup baik
jati blanda,Guazuma ulmifolia,Sterculiaceae,Tanin; musilago; resin; flavonoid; karotenoid; asam fenolat,Astringensia; antikolesterol; obat pelangsing,Bau aromatik lemah; rasa agak kelat,Dalam wadah tertutup baik
jungrahab,Baeckeae frutescens,Myrtaceae,Minyak atsiri (eugenol; kariofilin); zat penyamak dan damar,Diuretika; obat sakit perut; emetika,Berbau aromatik lemah; rasa pahit,Dalam wadah tertutup baik
katuk,Sauropus androgynus,Euphorbiaceae,Protein; lemak; kalsium,Bisa digunakan sebagai laktagoga; obat bisul,Bau aromatik lemah; rasa tawar,Dalam wadah tertutup baik
keji beling,Sericocalyx crispus,Acanthaceae,Kalium; silikat,Diuretika,Bau lemah; rasa agak sepet dan pahit,Dalam wadah tertutup baik; kering
kemuning,Murraya paniculata,Rutaceae,Minyak atsiri; damar; tanin; glukosa murayin,Antitiroida; obat gonorrhoe,Bau khas aromatik; rasa agak pedas; agak pahit; kelat,Dalam wadah tertutup baik
koka,Erythroxylon coca,Erythroxylaceae,Alkaloida kokaina; minyak atsiri; zat warna; metilsalisilat,Diambil untuk kokain; setelah bebas kokain digunakan untuk minuman coca,Bau lemah; rasa pahit,Dalam wadah tertutup baik terlindung dari cahaya; perlu pengawasan ketat
kumis kucing,Orthosiphon aristatus,Lamiaceae,Garam kalium; glukosida orthosiphon; minyak atsiri; saponin,Diuretika,Bau khas aromatik lemah; rasa agak asin; agak pahit; sepet,Dalam wadah tertutup baik; terlindung dari cahaya
saga,Abri precatorius,Papilionaceae,Glisirizin; Ca-Oksalat,Obat sariawan; antitussiva,Bau lemah; rasa agak manis; khas,Dalam wadah tertutup baik
salam,Syzygium polyanthum,Myrtaceae,Minyak atsiri; tanin,Anti diare; astringensia,Bau aromatik; rasa kelat,Dalam wadah tertutup baik; terlindung dari cahaya
seledri,Apium graveolens,Apiaceae,Flavo-glukosida (apiin); zat pahit; minyak atsiri; vitamin; kaolin; lipase,Stomakika; diuretika,Bau aromatik; rasa agak asin; menimbulkan rasa tebal di lidah,Dalam wadah tertutup baik
sereh,Cymbopogon nardus,Poaceae,Minyak atsiri (geraniol; sitronelal),Karminativa; antispasmodika; pengusir serangga,Bau khas aromatik; rasa agak pedas aromatik,Dalam wadah tertutup baik
sirih,Piper betle,Piperaceae,Minyak atsiri (fenol betelfenol),Obat batuk; antiseptik; obat kumur; menghentikan pendarahan,Bau aromatik khas; rasa pedas,Dalam wadah tertutup baik
sirsak,Annona muricata,Annonaceae,Annonaceus acetogenin; asam fenolat; flavonoid,Pendamping obat kanker; antitussiva; obat reumatik; anti emetika,Bau khas aromatik lemah; rasa agak asam,Dalam wadah tertutup baik
tapak liman,Elephantopus scaber,Asteraceae,Flavonoida luteolin-7-glukosida,Antipiretika; astringensia,Tidak berbau; rasa agak pahit,Dalam wadah tertutup baik
teh,Camellia sinensis,Theaceae,Polifenol; mineral fluoride; vitamin E; C; dan A; kafeina; tanin,Antidotum pada keracunan alkali logam berat; antioksidan; stimulan,Bau khas teh; rasa pahit sepat,Dalam wadah tertutup baik
tempuyung,Sonchus arvensis,Asteraceae,Kalsium; asam kersik,Diuretika; antiurolitiasis,Tidak berbau khas,Dalam wadah tertutup baik
urang aring,Eclipta prostrata,Asteraceae,Alkaloida nikotin; ekliptin,Astringensia; perawatan rambut,Bau lemah; khas; tidak berasa,Dalam wadah tertutup baik
